Periodo;Nivel General y Aperturas;Indice
"periodo";"nivel_general_aperturas";"indice_icc"
"1/4/2023";"e_albanileria";231,786868206686
"1/4/2023";"4_yeseria";246,121376704646
"1/4/2023";"m_instalacion_sanitaria_y_contraincendio";262,930342951183
"1/4/2023";"6_instalacion_de_gas";240,786780354892
"1/4/2023";"t_instalacion_electrica";251,399373443044
"1/4/2023";"b_carpinteria_metalica_y_herreria";248,552829390043
"1/4/2023";"n_carpinteria_de_madera";250,348870272753
"1/4/2023";"io_ascensores";230,86385309932
"1/4/2023";"ii_vidrios";277,963013485073
"1/4/2023";"i2_pintura";224,366757683146
"1/4/2023";"ie_otros_trabajos_y_gastos";245,438299652098
"1/5/2023";"i_movimiento_de_tierras";248,768636886581
"1/5/2023";"2_estructura";254,229885689918
"1/5/2023";"e_albanileria";249,066561384567
"1/5/2023";"4_yeseria";262,6217604345
"1/5/2023";"m_instalacion_sanitaria_y_contraincendio";286,554031144301
"1/5/2023";"6_instalacion_de_gas";264,966313763234
"1/5/2023";"t_instalacion_electrica";275,157582848947
"1/5/2023";"b_carpinteria_metalica_y_herreria";273,229897975567
"1/5/2023";"n_carpinteria_de_madera";274,400139985564
"1/5/2023";"io_ascensores";249,974637313584
"1/5/2023";"ii_vidrios";305,776950658664
"1/5/2023";"i2_pintura";237,534131179922
"1/5/2023";"ie_otros_trabajos_y_gastos";261,498830820707
"1/6/2023";"i_movimiento_de_tierras";272,270531965217
"1/6/2023";"2_estructura";266,288154944496
"1/6/2023";"e_albanileria";260,441862526287
"1/6/2023";"4_yeseria";273,460652931106
"1/6/2023";"m_instalacion_sanitaria_y_contraincendio";306,279306323964
"1/6/2023";"6_instalacion_de_gas";291,675364990714
"1/6/2023";"t_instalacion_electrica";285,664678795199
"1/6/2023";"b_carpinteria_metalica_y_herreria";292,693357465006
"1/6/2023";"n_carpinteria_de_madera";294,956145147532
"1/6/2023";"io_ascensores";270,898853606574
"1/6/2023";"ii_vidrios";327,301426455686
"1/6/2023";"i2_pintura";249,275257073142
"1/6/2023";"ie_otros_trabajos_y_gastos";291,160814433186
"1/7/2023";"i_movimiento_de_tierras";293,312620814913
"1/7/2023";"2_estructura";288,136374265788
"1/7/2023";"e_albanileria";283,249671664881
"1/7/2023";"4_yeseria";296,094810791664
"1/7/2023";"m_instalacion_sanitaria_y_contraincendio";331,312179025976
"1/7/2023";"6_instalacion_de_gas";309,581260421044
"1/7/2023";"t_instalacion_electrica";310,164565562014
"1/7/2023";"b_carpinteria_metalica_y_herreria";312,841358574285
"1/7/2023";"n_carpinteria_de_madera";318,988823027625
"1/7/2023";"io_ascensores";296,436542558588
"1/7/2023";"ii_vidrios";348,651492711825
"1/7/2023";"i2_pintura";268,815720676233
"1/7/2023";"ie_otros_trabajos_y_gastos";315,11092945001
"1/8/2023";"i_movimiento_de_tierras";316,473460139109
"1/8/2023";"2_estructura";326,724624124792
"1/8/2023";"e_albanileria";316,748716874411
"1/8/2023";"4_yeseria";342,163055670347
"1/8/2023";"m_instalacion_sanitaria_y_contraincendio";392,815970757767
"1/8/2023";"6_instalacion_de_gas";384,592443980534
"1/8/2023";"t_instalacion_electrica";368,970332905563
"1/8/2023";"b_carpinteria_metalica_y_herreria";375,042692627676
"1/8/2023";"n_carpinteria_de_madera";390,73251820906
"1/8/2023";"io_ascensores";363,246931114944
"1/8/2023";"ii_vidrios";394,630329721724
"1/8/2023";"i2_pintura";321,980479869866
"1/8/2023";"ie_otros_trabajos_y_gastos";343,354689074352
"1/9/2023";"i_movimiento_de_tierras";369,082478260615
"1/9/2023";"2_estructura";382,361720566186
"1/9/2023";"e_albanileria";375,116629468782
"1/9/2023";"4_yeseria";368,029399610367
"1/9/2023";"m_instalacion_sanitaria_y_contraincendio";433,382952506182
"1/9/2023";"6_instalacion_de_gas";432,833575078963
"1/9/2023";"t_instalacion_electrica";398,448705367253
"1/9/2023";"b_carpinteria_metalica_y_herreria";406,998671784916
"1/9/2023";"n_carpinteria_de_madera";430,636059406374
"1/9/2023";"io_ascensores";405,212032058436
"1/9/2023";"ii_vidrios";440,667628030244
"1/9/2023";"i2_pintura";349,00656480567
"1/9/2023";"ie_otros_trabajos_y_gastos";393,425980494667
"1/10/2023";"i_movimiento_de_tierras";376,310641056338
"1/10/2023";"2_estructura";395,684141023701
"1/10/2023";"e_albanileria";384,967488780205
"1/10/2023";"4_yeseria";418,029399610367
"1/10/2023";"m_instalacion_sanitaria_y_contraincendio";506,041961280505
"1/10/2023";"6_instalacion_de_gas";486,747820900378
"1/10/2023";"t_instalacion_electrica";440,799803729146
"1/10/2023";"b_carpinteria_metalica_y_herreria";484,82185862537
"1/10/2023";"n_carpinteria_de_madera";499,84470351495
"1/10/2023";"io_ascensores";448,123161205235
"1/10/2023";"ii_vidrios";490,684192064853
"1/10/2023";"i2_pintura";386,559577063847
"1/10/2023";"ie_otros_trabajos_y_gastos";418,108971312333
"1/11/2023";"i_movimiento_de_tierras";428,649267372527
"1/11/2023";"2_estructura";437,133581853447
"1/11/2023";"e_albanileria";427,726792951471
"1/11/2023";"4_yeseria";476,633803648385
"1/11/2023";"m_instalacion_sanitaria_y_contraincendio";564,487557992408
"1/11/2023";"6_instalacion_de_gas";588,468055687348
"1/11/2023";"t_instalacion_electrica";488,682343172039
"1/11/2023";"b_carpinteria_metalica_y_herreria";527,107264314801
"1/11/2023";"n_carpinteria_de_madera";555,084319429559
"1/11/2023";"io_ascensores";522,958303743533
"1/11/2023";"ii_vidrios";549,337438615637
"1/11/2023";"i2_pintura";450,726195317493
"1/11/2023";"ie_otros_trabajos_y_gastos";453,178646793787
"1/12/2023";"i_movimiento_de_tierras";545,379103327045
"1/12/2023";"2_estructura";576,188838604069
"1/12/2023";"e_albanileria";519,315773783146
"1/12/2023";"4_yeseria";613,102898636283
"1/12/2023";"m_instalacion_sanitaria_y_contraincendio";801,173493437864
"1/12/2023";"6_instalacion_de_gas";885,927693204463
"1/12/2023";"t_instalacion_electrica";688,453989582547
"1/12/2023";"b_carpinteria_metalica_y_herreria";720,200545881803
"1/12/2023";"n_carpinteria_de_madera";771,868369824362
"1/12/2023";"io_ascensores";675,65942984681
"1/12/2023";"ii_vidrios";754,226751890249
"1/12/2023";"i2_pintura";658,952535874049
"1/12/2023";"ie_otros_trabajos_y_gastos";520,011976958613
"1/1/2024";"i_movimiento_de_tierras";618,752226498396
"1/1/2024";"2_estructura";658,999683618306
"1/1/2024";"e_albanileria";610,097412799833
"1/1/2024";"4_yeseria";728,431430426826
"1/1/2024";"m_instalacion_sanitaria_y_contraincendio";962,020658115629
"1/1/2024";"6_instalacion_de_gas";933,763504995323
"1/1/2024";"t_instalacion_electrica";749,024307390352
"1/1/2024";"b_carpinteria_metalica_y_herreria";793,173558302803
"1/1/2024";"n_carpinteria_de_madera";870,452109626195
"1/1/2024";"io_ascensores";945,373845997769
"1/1/2024";"ii_vidrios";870,991503624601
"1/1/2024";"i2_pintura";716,509324347877
"1/1/2024";"ie_otros_trabajos_y_gastos";595,343244425011
"1/2/2024";"i_movimiento_de_tierras";675,692185501626
"1/2/2024";"2_estructura";683,648568716728
"1/2/2024";"e_albanileria";633,332259026194
"1/2/2024";"4_yeseria";752,892732746915
"1/2/2024";"m_instalacion_sanitaria_y_contraincendio";1007,50903482439
"1/2/2024";"6_instalacion_de_gas";956,563054941778
"1/2/2024";"t_instalacion_electrica";779,210387257492
"1/2/2024";"b_carpinteria_metalica_y_herreria";807,14025075533
"1/2/2024";"n_carpinteria_de_madera";941,690544412607
"1/2/2024";"io_ascensores";1049,69818403165
"1/2/2024";"ii_vidrios";958,214786811131
"1/2/2024";"i2_pintura";766,586301051531
"1/2/2024";"ie_otros_trabajos_y_gastos";821,899773768559
"1/3/2024";"i_movimiento_de_tierras";719,750281779797
"1/3/2024";"2_estructura";742,575346988184
"1/3/2024";"e_albanileria";703,960164691285
"1/3/2024";"4_yeseria";833,3225101836
"1/3/2024";"m_instalacion_sanitaria_y_contraincendio";1063,08002745594
"1/3/2024";"6_instalacion_de_gas";978,415052393282
"1/3/2024";"t_instalacion_electrica";807,412999169623
"1/3/2024";"b_carpinteria_metalica_y_herreria";856,387838804314
"1/3/2024";"n_carpinteria_de_madera";1004,47516349876
"1/3/2024";"io_ascensores";1131,50045652836
"1/3/2024";"ii_vidrios";1051,99547899291
"1/3/2024";"i2_pintura";836,572648579562
"1/3/2024";"ie_otros_trabajos_y_gastos";866,469268645083
"1/4/2024";"i_movimiento_de_tierras";804,861212499926
"1/4/2024";"2_estructura";770,722313162854
"1/4/2024";"e_albanileria";744,165303639484
"1/4/2024";"4_yeseria";938,089615679792
"1/4/2024";"m_instalacion_sanitaria_y_contraincendio";1096,31164148494
"1/4/2024";"6_instalacion_de_gas";1004,4219116431
"1/4/2024";"t_instalacion_electrica";824,589529704838
"1/4/2024";"b_carpinteria_metalica_y_herreria";854,268532979142
"1/4/2024";"n_carpinteria_de_madera";1042,39484678143
"1/4/2024";"io_ascensores";1195,22674241656
"1/4/2024";"ii_vidrios";1070,54427469016
"1/4/2024";"i2_pintura";878,511880555394
"1/4/2024";"ie_otros_trabajos_y_gastos";940,119959696584
"1/5/2024";"i_movimiento_de_tierras";851,808938697563
"1/5/2024";"2_estructura";884,764158080801
"1/5/2024";"e_albanileria";882,906430533958
"1/5/2024";"4_yeseria";992,83901056733
"1/5/2024";"m_instalacion_sanitaria_y_contraincendio";1097,71090215926
"1/5/2024";"6_instalacion_de_gas";1005,18781602028
"1/5/2024";"t_instalacion_electrica";878,213935230618
"1/5/2024";"b_carpinteria_metalica_y_herreria";866,369886007035
"1/5/2024";"n_carpinteria_de_madera";1066,75561582712
"1/5/2024";"io_ascensores";1260,35558486355
"1/5/2024";"ii_vidrios";1082,3476108816
"1/5/2024";"i2_pintura";924,398710277116
"1/5/2024";"ie_otros_trabajos_y_gastos";1063,28301743313
"1/6/2024";"i_movimiento_de_tierras";897,754521616744
"1/6/2024";"2_estructura";907,509938511906
"1/6/2024";"e_albanileria";912,811918363401
"1/6/2024";"4_yeseria";1050,487041738
"1/6/2024";"m_instalacion_sanitaria_y_contraincendio";1124,20009758437
"1/6/2024";"6_instalacion_de_gas";1041,67875394814
"1/6/2024";"t_instalacion_electrica";915,902657205404
"1/6/2024";"b_carpinteria_metalica_y_herreria";875,933034606571
"1/6/2024";"n_carpinteria_de_madera";1075,49268356701
"1/6/2024";"io_ascensores";1324,61955970376
"1/6/2024";"ii_vidrios";1118,38607841609
"1/6/2024";"i2_pintura";958,654795793877
"1/6/2024";"ie_otros_trabajos_y_gastos";1120,59181384384
"1/7/2024";"i_movimiento_de_tierras";917,855203144253
"1/7/2024";"2_estructura";915,427046508109
"1/7/2024";"e_albanileria";920,889365165054
"1/7/2024";"4_yeseria";1060,23673180235
"1/7/2024";"m_instalacion_sanitaria_y_contraincendio";1157,14805534192
"1/7/2024";"6_instalacion_de_gas";1075,63746289092
"1/7/2024";"t_instalacion_electrica";941,55657884804
